Project Name,Address,No. of Units,Area (sqm),Type of Area,Transacted Price ($),Nett Price($),Unit Price ($ psm),Unit Price ($ psf),Sale Date,Property Type,Tenure,Completion Date,Type of Sale,Purchaser Address Indicator,Postal District,Postal Sector,Postal Code,Planning Region,Planning Area
WHISTLER GRAND,109 West Coast Vale  #16-15 ,1,71,Strata,1123400,-,15823,1470,22-JAN-2020,Apartment,99 Yrs From 07/05/2018,Uncompleted,New Sale,N.A,05,12,126752,West Region,Clementi
TRESALVEO,7 Marymount Terrace  #03-03 ,1,56,Strata,850000,-,15179,1410,22-JAN-2020,Condominium,Freehold,2012,Resale,N.A,20,57,573963,Central Region,Bishan
BAYWATER,808 Bedok Reservoir Road  #14-05 ,1,120,Strata,1410000,-,11750,1092,22-JAN-2020,Condominium,99 Yrs From 19/03/2001,2006,Resale,N.A,16,47,479240,East Region,Bedok
REGENTVILLE,12 Hougang Street 92  #13-08 ,1,107,Strata,835000,-,7804,725,22-JAN-2020,Apartment,99 Yrs From 24/04/1996,1999,Resale,HDB,19,53,538688,North East Region,Hougang
HEDGES PARK CONDOMINIUM,81 Flora Drive  #03-35 ,1,125,Strata,1234000,-,9872,917,22-JAN-2020,Condominium,99 Yrs From 28/07/2010,2015,Resale,HDB,17,50,506886,East Region,Pasir Ris
THE QUARTZ,69 Compassvale Bow  #16-38 ,1,109,Strata,1200000,-,11009,1023,22-JAN-2020,Condominium,99 Yrs From 18/04/2005,2009,Resale,HDB,19,54,544993,North East Region,Sengkang
KALLANG RIVERSIDE,51 Kampong Bugis  #20-09 ,1,93,Strata,2500000,-,26882,2497,22-JAN-2020,Apartment,Freehold,2018,Resale,N.A,12,33,338986,Central Region,Kallang
TREASURE AT TAMPINES,47 Tampines Lane  #07-157 ,1,63,Strata,965112,-,15319,1423,22-JAN-2020,Condominium,99 Yrs From 29/11/2018,Uncompleted,New Sale,N.A,18,52,528462,East Region,Tampines
THE SPRINGBLOOM,139 Serangoon Avenue 3  #13-04 ,1,105,Strata,1135000,-,10810,1004,22-JAN-2020,Condominium,99 Yrs From 01/03/1995,1999,Resale,N.A,19,55,556119,North East Region,Serangoon
RV EDGE,2 Shanghai Road  #05-16 ,1,46,Strata,900000,-,19565,1818,22-JAN-2020,Apartment,Freehold,2013,Resale,N.A,10,24,248209,Central Region,Tanglin
THE TEMBUSU,107A Tampines Road  #09-08 ,1,113,Strata,1880000,-,16637,1546,22-JAN-2020,Condominium,Freehold,2016,Resale,N.A,19,53,534009,North East Region,Hougang
CASA AL MARE,75 Jalan Loyang Besar  #02-09 ,1,44,Strata,768000,-,17455,1622,22-JAN-2020,Apartment,Freehold,Uncompleted,New Sale,N.A,17,50,506930,East Region,Pasir Ris
PARC BOTANNIA,18 Fernvale Street  #20-28 ,1,73,Strata,1071140,-,14673,1363,22-JAN-2020,Condominium,99 Yrs From 28/12/2016,Uncompleted,New Sale,N.A,28,79,797394,North East Region,Sengkang
MELOSA,28 Lorong 28 Geylang  #08-04 ,1,40,Strata,545000,-,13625,1266,22-JAN-2020,Apartment,Freehold,2013,Resale,N.A,14,39,398432,Central Region,Geylang
PLATINUM EDGE,18 Leicester Road  #14-03 ,1,96,Strata,1390000,-,14479,1345,22-JAN-2020,Apartment,Freehold,2007,Resale,HDB,13,35,358847,Central Region,Toa Payoh
CASA FORTUNA,38 Ah Hood Road  #07-06 ,1,86,Strata,1190000,-,13837,1286,22-JAN-2020,Apartment,Freehold,2011,Resale,HDB,12,32,329981,Central Region,Novena
JADESCAPE,12 Shunfu Road  #06-46 ,1,195,Strata,3171800,-,16266,1511,22-JAN-2020,Condominium,99 Yrs From 19/06/2018,Uncompleted,New Sale,N.A,20,57,575747,Central Region,Bishan
D'LEEDON,11 Leedon Heights  #16-33 ,1,59,Strata,1050000,-,17797,1653,22-JAN-2020,Condominium,99 Yrs From 08/04/2010,2014,Resale,HDB,10,26,267955,Central Region,Bukit Timah
THE WARREN,59 Choa Chu Kang Loop  #06-48 ,1,115,Strata,1010000,-,8783,816,21-JAN-2020,Condominium,99 Yrs From 21/06/2001,2004,Resale,N.A,23,68,689686,West Region,Choa Chu Kang
POLLEN & BLEU,19 Farrer Drive  #02-21 ,1,106,Strata,2200000,-,20755,1928,21-JAN-2020,Condominium,99 Yrs From 24/09/2012,2016,Resale,N.A,10,25,259298,Central Region,Tanglin
TREASURE AT TAMPINES,37 Tampines Lane  #07-121 ,1,63,Strata,901112,-,14303,1329,21-JAN-2020,Condominium,99 Yrs From 29/11/2018,Uncompleted,New Sale,N.A,18,52,528467,East Region,Tampines
THE CLEARWATER,10 Bedok Reservoir View  #04-30 ,1,114,Strata,1150000,-,10088,937,21-JAN-2020,Condominium,99 Yrs From 18/07/1997,2001,Resale,N.A,16,47,479236,East Region,Bedok
AFFINITY AT SERANGOON,18 Serangoon North Avenue 1  #07-04 ,1,68,Strata,1150000,-,16912,1571,21-JAN-2020,Apartment,99 Yrs From 18/05/2018,Uncompleted,New Sale,N.A,19,55,554336,North East Region,Serangoon
YEWTEE RESIDENCES,25 Choa Chu Kang North 6  #03-13 ,1,147,Strata,1055000,-,7177,667,21-JAN-2020,Apartment,99 Yrs From 03/01/2006,2008,Resale,N.A,23,68,689580,West Region,Choa Chu Kang
LUCIDA,2 Suffolk Road  #08-03 ,1,99,Strata,1630000,-,16465,1530,21-JAN-2020,Apartment,Freehold,2011,Resale,N.A,11,30,307780,Central Region,Novena
THE LAKEFRONT RESIDENCES,42 Lakeside Drive  #08-08 ,1,93,Strata,1330000,-,14301,1329,21-JAN-2020,Condominium,99 Yrs From 03/08/2010,2014,Resale,N.A,22,64,648322,West Region,Jurong West
THE TRUMPS,1 Jalan Kembangan  #09-16 ,1,88,Strata,1235000,-,14034,1304,21-JAN-2020,Condominium,99 Yrs From 14/08/2000,2005,Resale,N.A,14,41,419154,East Region,Bedok
TREASURE AT TAMPINES,13 Tampines Lane  #10-53 ,1,94,Strata,1391112,-,14799,1375,21-JAN-2020,Condominium,99 Yrs From 29/11/2018,Uncompleted,New Sale,N.A,18,52,528479,East Region,Tampines
TREASURE AT TAMPINES,9 Tampines Lane  #12-36 ,1,55,Strata,839112,-,15257,1417,21-JAN-2020,Condominium,99 Yrs From 29/11/2018,Uncompleted,New Sale,N.A,18,52,528481,East Region,Tampines
ONE HOLLAND VILLAGE RESIDENCES,1 Holland Village Way  #05-08 ,1,74,Strata,2031748,2022764,27335,2539,21-JAN-2020,Apartment,99 Yrs From 13/08/2018,Uncompleted,New Sale,N.A,10,27,275754,Central Region,Queenstown
SEASONS VIEW,7 Pemimpin Drive  #02-03 ,1,90,Strata,1000000,-,11111,1032,21-JAN-2020,Condominium,99 Yrs From 06/09/1996,2000,Resale,N.A,20,57,576150,Central Region,Bishan
SIGLAP V,2 First Street  #04-38 ,1,74,Strata,825000,-,11149,1036,21-JAN-2020,Apartment,Freehold,2013,Resale,N.A,15,45,458278,East Region,Bedok
THE GARDEN RESIDENCES,1 Serangoon North View  #15-12 ,1,96,Strata,1323600,-,13788,1281,21-JAN-2020,Apartment,99 Yrs From 30/10/2017,Uncompleted,New Sale,N.A,19,55,554343,North East Region,Serangoon
N.A.,2 Sea Breeze Avenue ,1,865,Land,7850000,-,9078,843,21-JAN-2020,Detached House,Freehold,1987,Resale,N.A,16,48,487533,East Region,Tampines
SOLEIL @ SINARAN,6 Sinaran Drive  #22-14 ,1,89,Strata,1600000,-,17978,1670,21-JAN-2020,Condominium,99 Yrs From 23/10/2006,2011,Resale,N.A,11,30,307468,Central Region,Novena
LUXUS HILLS,11 Luxus Hill Drive ,1,150,Land,3188000,-,21253,1974,21-JAN-2020,Terrace House,999 Yrs From 01/01/1879,2018,Resale,N.A,28,80,804725,North East Region,Serangoon
ARC AT TAMPINES,19 Tampines Avenue 8  #07-30 ,1,89,Strata,850000,-,9551,887,21-JAN-2020,Executive Condominium,99 Yrs From 22/02/2011,2014,Resale,HDB,18,52,529603,East Region,Tampines
CONCOURSE SKYLINE,296 Beach Road  #28-06 ,1,205,Strata,4917385,-,23987,2228,21-JAN-2020,Apartment,99 Yrs From 13/03/2008,2014,Resale,N.A,07,19,199599,Central Region,Kallang
MARTIN MODERN,8 Martin Place  #09-06 ,1,71,Strata,1985000,-,27958,2597,21-JAN-2020,Condominium,99 Yrs From 28/09/2016,Uncompleted,New Sale,N.A,09,23,237992,Central Region,River Valley
GRANDLINK SQUARE,511 Guillemard Road  #04-14 ,1,182,Strata,1680000,-,9231,858,21-JAN-2020,Apartment,Freehold,2000,Resale,HDB,14,39,399849,Central Region,Geylang
N.A.,31 Harvey Avenue ,1,515,Land,6550000,-,12731,1183,21-JAN-2020,Detached House,Freehold,2018,Resale,N.A,16,48,489509,East Region,Tampines
MERAWOODS,136C Hillview Avenue  #03-04 ,1,93,Strata,1068000,-,11484,1067,21-JAN-2020,Condominium,999 Yrs From 12/10/1885,1999,Resale,HDB,23,66,669608,West Region,Bukit Batok
TREASURE AT TAMPINES,15 Tampines Lane  #04-61 ,1,85,Strata,1169112,-,13754,1278,21-JAN-2020,Condominium,99 Yrs From 29/11/2018,Uncompleted,New Sale,N.A,18,52,528478,East Region,Tampines
MEYER MANSION,79 Meyer Road  #17-02 ,1,103,Strata,2978300,-,28916,2686,21-JAN-2020,Apartment,Freehold,Uncompleted,New Sale,N.A,15,43,437906,Central Region,Marine Parade
ONE HOLLAND VILLAGE RESIDENCES,1 Holland Village Way  #24-04 ,1,45,Strata,1449280,1431899,31820,2956,21-JAN-2020,Apartment,99 Yrs From 13/08/2018,Uncompleted,New Sale,N.A,10,27,275754,Central Region,Queenstown
N.A.,3B Harlyn Road ,1,466,Land,9980000,-,21430,1991,21-JAN-2020,Detached House,Freehold,2015,Resale,N.A,11,29,299466,Central Region,Novena
Q BAY RESIDENCES,15 Tampines Street 86  #06-35 ,1,108,Strata,1338000,-,12389,1151,21-JAN-2020,Condominium,99 Yrs From 21/08/2012,2016,Resale,HDB,18,52,528590,East Region,Tampines
HAUS ON HANDY,30 Handy Road  #05-15 ,1,91,Strata,2820800,-,30998,2880,21-JAN-2020,Condominium,99 Yrs From 07/05/2018,Uncompleted,New Sale,N.A,09,22,229241,Central Region,Museum
WESTVILLE,33 Westwood Walk ,1,201,Land,1600000,-,7964,740,21-JAN-2020,Semi-Detached House,99 Yrs From 01/12/1994,1997,Resale,HDB,22,64,648676,West Region,Jurong West
WOODSVALE,9 Woodlands Drive 72  #06-18 ,1,115,Strata,738000,-,6417,596,21-JAN-2020,Executive Condominium,99 Yrs From 22/09/1997,2000,Resale,HDB,25,73,738093,North Region,Woodlands
NEU AT NOVENA,27 Moulmein Rise  #04-05 ,1,80,Strata,2203000,-,27538,2558,21-JAN-2020,Apartment,Freehold,Uncompleted,New Sale,N.A,11,30,308140,Central Region,Novena
HEDGES PARK CONDOMINIUM,87 Flora Drive  #03-54 ,1,93,Strata,873000,-,9387,872,21-JAN-2020,Condominium,99 Yrs From 28/07/2010,2015,Resale,N.A,17,50,506889,East Region,Pasir Ris
JADESCAPE,6 Shunfu Road  #21-26 ,1,60,Strata,1174000,-,19567,1818,21-JAN-2020,Condominium,99 Yrs From 19/06/2018,Uncompleted,New Sale,N.A,20,57,575744,Central Region,Bishan
N.A.,82A Lorong 25a Geylang ,1,90,Strata,915000,-,10167,945,21-JAN-2020,Apartment,Freehold,1976,Resale,N.A,14,38,388261,Central Region,Geylang
VIZ AT HOLLAND,221 Queensway  #09-01 ,1,88,Strata,1585000,-,18011,1673,21-JAN-2020,Condominium,Freehold,2008,Resale,N.A,10,27,276750,Central Region,Bukit Timah
PALMERA RESIDENCE,38 Lorong N Telok Kurau  #05-05 ,1,132,Strata,1605000,-,12159,1130,21-JAN-2020,Apartment,Freehold,2010,Resale,HDB,15,42,425163,East Region,Bedok
